Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40963358,Dhalgren,Samuel R. Delany,"Delany, Samuel R.",William Gibson,,,0,3.78,Open Road Media Sci-Fi & Fantasy,Kindle Edition,836,2014,1975,,12/2/2020,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,0465081452,9780465081455,3,4.34,Basic Books,Hardcover,448,2003,2000,10/23/2020,7/15/2018,,,read,,,,1,,,0,,,,,
41040809,The Vue Handbook,Flavio Copes,"Copes, Flavio",,,,4,3.94,,ebook,122,2018,,11/22/2020,11/20/2020,owned,owned (#115),read,,,,1,,,1,,,unspecified,,
33255500,Modern Python Cookbook,Steven F. Lott,"Lott, Steven F.",,1786463849,9781786463845,2,3.55,Packt Publishing,ebook,583,2016,,11/29/2020,8/7/2020,,,read,,,,1,,,0,,,,,
17333319,Burial Rites,Hannah Kent,"Kent, Hannah",,0316243914,9780316243919,0,4.01,"Little, Brown and Company",Hardcover,336,2013,2013,,11/28/2020,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
40961230,The Travelling Cat Chronicles,Hiro Arikawa,"Arikawa, Hiro",Philip Gabriel,,,0,4.3,Viking,Kindle Edition,288,2018,2012,,11/28/2020,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
38958846,"Sheets (Sheets, #1)",Brenna Thummler,"Thummler, Brenna",,194130267X,9781941302675,0,3.83,Oni Press,Paperback,239,2018,2018,,11/28/2020,"to-read, short","to-read (#54), short (#4)",to-read,,,,0,,,0,,,,,
114230,Bartleby the Scrivener,Herman Melville,"Melville, Herman",,0974607800,9780974607801,3,3.92,Melville House,Paperback,64,2004,1853,,11/27/2020,,,read,,,,1,,,0,,,,,
35220,The Red Badge of Courage,Stephen Crane,"Crane, Stephen",,1580495869,9781580495868,3,3.27,"Clayton, Del. : Prestwick House Literary Touchstone Classics,",Paperback,149,2006,1894,,11/27/2020,,,read,,,,1,,,0,,,,,
9833014,On the Road to Babadag: Travels in the Other Europe,Andrzej Stasiuk,"Stasiuk, Andrzej",Michael Kandel,0151012717,9780151012718,3,3.74,Houghton Mifflin Harcourt,Hardcover,272,2011,2004,,11/27/2020,,,read,,,,1,,,0,,,,,
17978489,"The Future of the Mind: The Scientific Quest to Understand, Enhance, and Empower the Mind",Michio Kaku,"Kaku, Michio",,038553082X,9780385530828,0,4.08,Doubleday,Hardcover,377,2014,2014,,11/27/2020,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
1168341,Physics of the Impossible,Michio Kaku,"Kaku, Michio",,0385520697,9780385520690,4,4.07,Doubleday Books,Hardcover,329,2008,2008,,11/27/2020,,,read,,,,2,,,0,,,,,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,,,3,4.23,William Morrow,Mass Market Paperback,491,2006,1990,11/26/2020,9/16/2020,,,read,,,,1,,,0,,,,,
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,038039586X,9780380395866,2,4.06,Avon Books,Mass Market Paperback,478,1975,1972,,11/18/2020,,,read,,,,1,,,0,,,,,
37173847,"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,,,4,4.22,Crown,Kindle Edition,512,2018,2018,11/18/2020,7/8/2020,,,read,,,,1,,,0,,,,,
